Suburb,Site,Exposure period,Notes,Date added,Health advice
Coburg,Pentridge Cinema Coburg (Palace Cinema) 1 Champ Street Coburg VIC 3058,24/05/2021 6:45pm - 9:30pm,Case attended venue. Tier 2 advice applies for patrons who attended the cinema at this time but who did not attend the 7pm screening of 'Those Who Wish Me Dead'.,27/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Coburg,Pentridge Cinema Coburg (Palace Cinema) - 7pm screening of 'Those Who Wish Me Dead' 1 Champ Street Coburg VIC 3058,24/05/2021 6:45pm - 9:30pm,Case attended 7pm screening of 'Those Who Wish Me Dead'. Please see additional site for those that attended the cinema at the times of concern but who did not attend this screening.,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Cohuna,"Cohuna Football and Netball Club, Cohuna Recreation Reserve Island Road Cohuna VIC 3568",22/05/2021 12:00pm - 5:00pm,"Case watched multiple netball games, visited canteen (inside) and used outdoor public toilets",26/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Craigieburn,"The Coffee Club - Craigieburn Central Craigieburn Central, Shop B00, 15/350 Craigieburn Road Craigieburn VIC 3064",23/05/2021 10:00am - 11:30am,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Craigieburn,Dosa Hut Craigieburn Shop D1/420-440 Craigieburn Road Craigieburn VIC 3064,25/05/2021 5:45pm - 7:15pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Craigieburn,Edu-Kingdom College 67A Hamilton Street Craigieburn VIC 3064,22/05/2021 1:20pm - 5:00pm,Case attended venue,29/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Craigieburn,PTV Bus Number 525 Highland SC/Grand Bvd to Donnybrook Rd/Dwyer Street Craigieburn VIC 3064,19/05/2021 3:15pm - 4:45pm,From Highland SC/Grand Bvd to Donnybrook Rd/Dwyer Street,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Craigieburn,PTV Bus Number 525 Highland SC/Grand Bvd to Donnybrook Rd/Dwyer Street Craigieburn VIC 3064,25/05/2021 3:15pm - 4:45pm,From Highland SC/Grand Bvd to Donnybrook Rd/Dwyer Street,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Craigieburn,Ambarsari Dhaba 3/38 Craigieburn Road Craigieburn VIC 3064,26/05/2021 7:20pm - 8:00pm,Case collected take away,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Craigieburn,Big W Craigieburn 340 Craigieburn Road Craigieburn VIC 3064,20/05/2021 11:30am - 12:30pm,Case attended venue,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
