Suburb,Site,Exposure period,Notes,Date added,Health advice
Fitzroy North,Secco and Co 414 Nicholson Street Fitzroy North VIC 3068,22/05/2021 7:35pm - 8:55pm,Case attended party,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Footscray,"Thai Huy Butcher Shop 144, 18 Irving Street  Footscray VIC 3011",27/05/2021 1:40pm - 2:30pm,Case attended venue,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Footscray,Inday Fillipino Store 121/81 Hopkins St (Footscray Market) Footscray VIC 3011,26/05/2021 1:50pm - 2:40pm,Case attended venue,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Footscray,Footscray Market 18 Irving Street Footscray VIC 3011,26/05/2021 1:50pm - 2:40pm,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Footscray,Footscray Market 18 Irving Street Footscray VIC 3011,27/05/2021 1:40pm - 2:30pm,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Glen Iris,Coles Tooronga Village Tooronga Road Glen Iris VIC 3146,23/05/2021 4:00pm - 4:30pm,Case attended venue,29/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Glen Iris,Bakers Delight Tooronga Village Corner Tooronga Road and Toorka Road Glen Iris VIC 3146,23/05/2021 4:10pm - 5:00pm,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Greenvale,"Chemist Warehouse Shop 4, 212 - 220 Greenvale Drive Greenvale VIC 3059",25/05/2021 12:50pm - 1:30pm,Case attended venue,27/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Greenvale,Barrymore Medical Centre 9 Barrymore Road Greenvale VIC 3059,25/05/2021 12:25pm - 1:30pm,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Hampton,Body Fit Training Hampton Shop 4-6/498 Hampton Street Hampton VIC 3188,24/05/2021 5:35pm - 7:00pm,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Hampton,Body Fit Training Hampton Shop 4-6/498 Hampton Street Hampton VIC 3188,25/05/2021 5:21pm - 7:00pm,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Hawthorn,Short Straw 743B Glenferrie Road Hawthorn VIC 3122,23/05/2021 11:20am - 2:20pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Ivanhoe,Fairy Hills Kindergarten 7 Thyer Road Ivanhoe VIC 3079,25/05/2021 9:15am - 11:00am,Case attended venue,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Kalkallo,Metricon Homes Kalkallo- Cloverton Display Homes 24 Design Way Kalkallo VIC 3064,26/05/2021 2:25pm - 5:28pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Kalkallo,Metricon Homes Kalkallo- Cloverton Display Homes 24 Design Way Kalkallo VIC 3064,22/05/2021 1:15pm - 3:15pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Keilor Downs,"German Shepherd Dog Club of Victoria Western Branch Green Gully Reserve, McCrae Boulevard Keilor Downs VIC 3038",23/05/2021 9:15am - 11:20am,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Lalor,Deep Indian Supermarket 3/494 High Street Lalor VIC 3075,20/05/2021 7:00pm - 8:30pm,Case attended venue,25/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Lalor,Everfresh Fruit Market 346 Station Street Lalor VIC 3075,19/05/2021 12:00pm - 1:00pm,Case attended venue,25/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Lalor,Fruits of Lalor 328 Station Street Lalor VIC 3075,19/05/2021 12:00pm - 1:00pm,Case attended venue,25/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Lalor,No. 1 Fruit Market 37 May Road Lalor VIC 3075,19/05/2021 12:00pm - 1:00pm,Case attended venue,25/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Lalor,Everfresh Fruit Market 346 Station Street Lalor VIC 3075,14/05/2021 11:30am - 12:30pm,Case attended venue,27/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Lalor,Fruits of Lalor 328 Station Street Lalor VIC 3075,14/05/2021 11:30am - 12:30pm,Case attended venue,27/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Lalor,No. 1 Fruit Market 37 May Road Lalor VIC 3075,14/05/2021 11:30am - 12:30pm,Case attended venue,27/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Lalor,Coles Lalor 47-71 May Road Lalor VIC 3075,18/05/2021 3:35pm - 4:25pm,Case shopped,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Lalor,Woolworths Lalor Hurtle Street Lalor VIC 3075,25/05/2021 3:35pm - 4:25pm,Case shopped,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Lalor,Woolworths Lalor Hurtle Street Lalor VIC 3075,26/05/2021 11:10am - 12:00pm,Case shopped,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Lalor,The Cake Box 314 Station Street Lalor VIC 3075,18/05/2021 3:30pm - 4:10pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Maidstone,Arcare Maidstone Aged Care Facility (Magnolia Unit) 31 Hampstead Road Maidstone VIC 3012,26/05/2021 7:00am - 1:30pm,"Any staff member, contractor or visitor in/to the facility and attended unit 2 (Upstairs, Magnolia Unit)",31/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Maidstone,Arcare Maidstone Aged Care Facility (Magnolia Unit) 31 Hampstead Road Maidstone VIC 3012,27/05/2021 7:00am - 1:30pm,"Any staff member, contractor or visitor in/to the facility and attended unit 2 (Upstairs, Magnolia Unit)",31/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Maidstone,Arcare Maidstone Aged Care Facility (Magnolia Unit) 31 Hampstead Road Maidstone VIC 3012,28/05/2021 12:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility and attended unit 2 (Upstairs Magnolia Unit) any time until lockdown occurred",31/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Maidstone,Arcare Maidstone Aged Care Facility (Magnolia Unit) 31 Hampstead Road Maidstone VIC 3012,29/05/2021 12:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility and attended unit 2 (Upstairs Magnolia Unit) any time until lockdown occurred",31/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Maidstone,Arcare Maidstone Aged Care Facility (Communal Facilities) 31 Hampstead Road Maidstone VIC 3012,26/05/2021 7:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tea room or office space) with a confirmed case",31/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Maidstone,Arcare Maidstone Aged Care Facility 31 Hampstead Road Maidstone VIC 3012,26/05/2021 12:00am - 11:59pm,Any resident who has attended or was at Arcare Maidstone in any other part of the facility from 26/05/2021 to PRESENT,31/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Maidstone,Arcare Maidstone Aged Care Facility 31 Hampstead Road Maidstone VIC 3012,26/05/2021 7:00am - 11:59pm,Any other attendence at Arcare Maidstone since 07:00 am from 26/05/2021 until lockdown on 29/05/2021 inclusive,31/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Maidstone,Arcare Maidstone Aged Care Facility (Communial Facilities) 31 Hampstead Road Maidstone VIC 3012,27/05/2021 12:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tea room or office space) with a confirmed case",31/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Maidstone,Arcare Maidstone Aged Care Facility (Communal Facilities) 31 Hampstead Road Maidstone VIC 3012,28/05/2021 12:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tea room or office space) with a confirmed case",31/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Maidstone,Arcare Maidstone Aged Care Facility (Communal Facilities) 31 Hampstead Road Maidstone VIC 3012,29/05/2021 12:00am - 11:59pm,"Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tea room or office space) with a confirmed case",31/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Malvern East (Chadstone),Chadstone Shopping Centre 1341 Dandenong Road Malvern East (Chadstone) VIC 3148,26/05/2021 11:53am - 2:00pm,Case walked around venue: Ground floor all areas. Lower ground floor: area immediately surrounding escalators outside Target only,29/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Malvern East (Chadstone),Yokozuna - Chadstone Shopping Centre 1341 Dandenong Road Malvern East (Chadstone) VIC 3148,26/05/2021 11:55am - 12:52pm,Case dined at venue,29/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Malvern East (Chadstone),"Optus - Chadstone Shopping Centre Shop B311, 1341 Dandenong Road Malvern East (Chadstone) VIC 3148",26/05/2021 12:27pm - 1:17pm,Case shopped in store,29/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Malvern East (Chadstone),Bakers Delight - Chadstone Shopping Centre 247C/ 1341 Dandenong Road Malvern East (Chadstone) VIC 3148,26/05/2021 12:40pm - 12:45pm,Case shopped at store,29/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Malvern East (Chadstone),Woolworths - Chadstone Shopping Centre 1341 Dandenong Road Malvern East (Chadstone) VIC 3148,26/05/2021 1:16pm - 1:56pm,Case shopped in store,29/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Malvern East (Chadstone),"Breadtop Chadstone Shop F010, 1341 Dandenong Road Malvern East (Chadstone) VIC 3145",26/05/2021 1:03pm - 1:37pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Malvern East (Chadstone),"QBD Books Chadstone Shop B099, 1341 Dandenong Road Malvern East (Chadstone) VIC 3145",26/05/2021 1:07pm - 1:43pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Maribyrnong,"Highpoint Shopping Centre, all other areas on Levels 2 and 3 excluding specific shops listed as Tier 1 sites Levels 2 & 3, 120-200 Rosamond Road Maribyrnong VIC 3032",20/05/2021 5:15pm - 6:35pm,"Case attended venue. If you attended one of the shops listed as Tier 1 (Lush Cosmetics, Toyworld, Smiggle, Kidstuff, Ishka), see specific shop instructions",24/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Maribyrnong,"Ishka, Highpoint Shopping Centre Level 2, 120-200 Rosamond Road Maribyrnong VIC 3032",20/05/2021 5:45pm - 6:20pm,Case attended venue,24/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Maribyrnong,"Kidstuff, Highpoint Shopping Centre Level 2, 120-200 Rosamond Road Maribyrnong VIC 3032",20/05/2021 5:20pm - 5:55pm,Case attended venue,24/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Maribyrnong,"Lush Cosmetics, Highpoint Shopping Centre Level 2, 120-200 Rosamond Road Maribyrnong VIC 3032",20/05/2021 6:05pm - 6:35pm,Case attended venue,24/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Maribyrnong,"Smiggle, Highpoint Shopping Centre Level 3, 120-200 Rosamond Road Maribyrnong VIC 3032",20/05/2021 5:55pm - 6:30pm,Case attended venue,24/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Maribyrnong,"Toyworld, Highpoint Shopping Centre Level 2, 120-200 Rosamond Road Maribyrnong VIC 3032",20/05/2021 5:30pm - 6:20pm,Case attended venue,24/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Maribyrnong,JB Hi Fi Shop 159-163 Rosamond Road Maribyrnong VIC 3032,23/05/2021 12:05pm - 12:15pm,Case attended venue,28/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Maribyrnong,The Good Guys 2-6 Sloane Street Maribyrnong VIC 3032,23/05/2021 12:20pm - 12:35pm,Case attended venue,28/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Melbourne,Bamboo House 47 Little Bourke Street Melbourne VIC 3000,21/05/2021 11:00am - 11:50am,Case attended venue,24/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Melbourne,The Lott (St Kilda Road News) 509 St Kilda Road Melbourne VIC 3004,24/05/2021 8:03am - 8:35am,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Mernda,Caltex Mernda 1631W Plenty Road Mernda VIC 3074,25/05/2021 11:30am - 12:10pm,Case attended venue,29/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Mickleham,Botanical Display Homes (Botanical Display Village) 23-25 Poppy Street Mickleham VIC 3063,23/05/2021 11:15am - 1:00pm,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Mickleham,Chemist Warehouse Mickleham 250 - 270 Donnybrook Road Mickleham VIC 3064,22/05/2021 1:45pm - 2:45pm,Case attended venue,29/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Mickleham,Metricon Homes- Merrifield Display Homes 15 Carrington Drive Mickleham VIC 3064,25/05/2021 3:29pm - 4:47pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Mickleham,Metricon Homes- Botanical Display Homes 27/29 Poppy St Mickleham VIC 3064,25/05/2021 2:32pm - 3:22pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Mill Park,Bunnings Warehouse 761 Plenty Road Mill Park VIC 3082,20/05/2021 4:00pm - 6:30pm,Case attended venue,25/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Mill Park,"Degani, Westfield Plenty Valley 415 Mcdonalds Road Mill Park VIC 3082",23/05/2021 11:30am - 2:00pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Mill Park,"Star Car Wash 1, Westfield Plenty Valley 52/415 McDonalds Rd Mill Park VIC 3082",22/05/2021 8:00am - 5:30pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Mill Park,"Star Car Wash 1, Westfield Plenty Valley 52/415 McDonalds Rd Mill Park VIC 3082",23/05/2021 8:00am - 5:30pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Mill Park,"Star Car Wash 1, Westfield Plenty Valley 52/415 McDonalds Rd Mill Park VIC 3082",25/05/2021 8:00am - 5:30pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Mill Park,"Star Car Wash 1, Westfield Plenty Valley 52/415 McDonalds Rd Mill Park VIC 3082",26/05/2021 8:00am - 5:30pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Mill Park,Coles Westfield Plenty Valley Civic Drive (415 McDonalds Rd) Mill Park VIC 3082,23/05/2021 9:00am - 9:35am,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Mill Park,Little Sparrow Westfield Plenty Valley 415 McDonalds Rd Mill Park VIC 3082,23/05/2021 8:50am - 9:25am,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Moonee Ponds,Moonee Valley Football Club - Ormond Park Spectators at (Men's 3rds Match Moonee Valley VS Hillside Sharks) 2A Pattison Steet Moonee Ponds VIC 3039,22/05/2021 12:00pm - 5:30pm,Case attended football game,27/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Moonee Ponds,Moonee Valley Football Club - Ormond Park Function Room/Bar 2A Pattison Steet Moonee Ponds VIC 3039,22/05/2021 4:00pm - 6:00pm,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Moonee Ponds,Moonee Valley Football Club - Ormond Park (Male Change Rooms) 2A Pattison Steet Moonee Ponds VIC 3039,22/05/2021 12:00pm - 4:00pm,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Mordialloc,The Sporting Globe Mordialloc 590 Main Street Mordialloc VIC 3195,23/05/2021 6:17pm - 9:43pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Mount Dandenong,SkyHigh Mount Dandenong and SkyHigh Cafe 26 Observatory Road Mount Dandenong VIC 3767,15/05/2021 6:00pm - 7:50pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Noble Park,New Lanka Restaurant 262 Railway Parade Noble Park VIC 3175,22/05/2021 10:05am - 10:45am,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Parkdale,Adairs Parkdale Plaza Unit 6/383 Nepean Highway Parkdale VIC 3195,25/05/2021 1:00pm - 2:10pm,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Parkville,"Melbourne Swordcraft Ransford Oval, Park Street Parkville VIC 3052",21/05/2021 5:45pm - 10:30pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Point Cook,Coles Stockland Point Cook Shopping Centre 5 Main Street & Murnong Street Point Cook VIC 3030,26/05/2021 3:30pm - 5:30pm,Case attended venue,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Point Cook,Sanctuary Lakes Shopping Centre 300 Point Cook Road Point Cook VIC 3030,26/05/2021 5:10pm - 6:30pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Point Cook,Aldi Sanctuary Lakes Shopping Centre 300 Point Cook Road Point Cook VIC 3030,26/05/2021 5:10pm - 6:30pm,Case attended venue,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Point Cook,Target - Stockland Point Cook Shopping Centre Murnong Street Point Cook VIC 3030,26/05/2021 3:30pm - 5:30pm,Case attended venue,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Point Cook,Stockland Point Cook Shopping Centre 5 Main Street & Murnong Street Point Cook VIC 3030,26/05/2021 3:30pm - 5:30pm,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Port Melbourne,Bay 101 Cafe 7/101 Bay Street Port Melbourne VIC 3207,24/05/2021 7:30am - 8:20am,Case sat inside venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Port Melbourne,Port Park Cafe  7/484 Graham St Port Melbourne VIC 3207,24/05/2021 12:30pm - 1:00pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Port Melbourne,"The Local, Port Melbourne 22-24 Bay Street Port Melbourne VIC 3207",21/05/2021 1:40pm - 3:30pm,Case dined inside venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Port Melbourne,Stratton Finance HQ 1/435 Williamstown Road Port Melbourne VIC 3207,20/05/2021 12:00am - 11:59pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Port Melbourne,Stratton Finance HQ 1/435 Williamstown Road Port Melbourne VIC 3207,21/05/2021 12:00am - 11:59pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Port Melbourne,Stratton Finance HQ 1/435 Williamstown Road Port Melbourne VIC 3207,22/05/2021 12:00am - 11:59pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Port Melbourne,Stratton Finance HQ 1/435 Williamstown Road Port Melbourne VIC 3207,23/05/2021 12:00am - 11:59pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Port Melbourne,Stratton Finance HQ 1/435 Williamstown Road Port Melbourne VIC 3207,24/05/2021 12:00am - 11:59pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Port Melbourne,Stratton Finance HQ 1/435 Williamstown Road Port Melbourne VIC 3207,25/05/2021 12:00am - 11:59pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Port Melbourne,"The Local, Port Melbourne 22-24 Bay Street Port Melbourne VIC 3207",21/05/2021 1:30pm - 3:30pm,Case dined inside venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Port Melbourne,Hunky Dory Fish & Chips 3/181 Bay Street Port Melbourne VIC 3207,21/05/2021 12:00pm - 2:00pm,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Port Melbourne,Coles Port Melbourne Corner Bay and Liardet St Port Melbourne VIC 3207,24/05/2021 3:10pm - 3:45pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Prahran,Somewhere Bar 181 Chapel Street Prahran VIC 3181,22/05/2021 10:30pm - 1:00am,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Prahran,Three Monkeys  210 Chapel Street Prahran VIC 3181,22/05/2021 9:10pm - 11:00pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Prahran,Three Monkeys  210 Chapel Street Prahran VIC 3181,23/05/2021 12:30am - 2:00am,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Preston,Adams Reserve Playground Milton Crescent Preston VIC 3072,23/05/2021 2:15pm - 3:45pm,Case attended venue,24/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Preston,ALDI Preston South 15 Dundas Street Preston VIC 3072,23/05/2021 3:45pm - 4:25pm,Case attended venue,24/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Preston,Preston City Hall 284 Gower Street Preston VIC 3071,22/05/2021 9:30am - 11:00am,Case attended venue for flu vaccine,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Preston,Northland Shopping Centre 2-50 Murray Road Preston VIC 3072,22/05/2021 1:15pm - 3:15pm,Case attended,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Preston,McDonalds (Northland Shopping Centre) 2-50 Murray Road Preston VIC 3072,22/05/2021 1:55pm - 2:40pm,Case attended,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Preston,Muffin Break (Northland Shopping Centre) 2-50 Murray Road Preston VIC 3072,22/05/2021 1:25pm - 2:00pm,Case attended,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Preston,H&M (Northland Shopping Centre) 2-50 Murray Road Preston VIC 3072,22/05/2021 2:30pm - 3:50pm,Visited store,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Preston,Salsa's Fresh Mex Grill (Northland Shopping Centre) K033/50 Murray Rd Preston VIC 3072,22/05/2021 1:10pm - 2:10pm,Case visited,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Red Hill,Nordie Cafe 1008 Mornington-Flinders Road Red Hill VIC 3937,22/05/2021 9:09am - 9:34am,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Reservoir,B.T. Connor Reserve 200 Broadhurst Avenue Reservoir VIC 3073,21/05/2021 8:00pm - 11:30pm,Case attended venue,24/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
